id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20313605,antwerpen,house,mansion,849000,5,375,1,0,0,0,,1,70,445,176,Good,2,1
20313604,antwerpen,house,house,409000,3,190,1,0,0,1,18,1,40,248,134,Good,2,1
20313601,wavre,apartment,apartment-block,180000,,78,1,1,1,1,6,1,6,90,100,Just renovated,2,1
20313602,tongeren,apartment,apartment,225000,2,150,1,0,0,1,26,1,48,224,0,Good,0,0
20208992,riemst,house,house,375000,3,162,1,0,0,1,87,0,,249,191,Good,3,0
20313600,bassenge,house,exceptional-property,149000,3,152,0,0,0,1,,1,75,227,170,To renovate,2,0
20313597,aalst%20%289300%29,house,house,255000,3,173,1,0,0,1,,0,,173,614,To renovate,0,0
20089430,bl%C3%A9gny,apartment,apartment,224550,2,83,0,0,0,1,22,0,,105,0,,0,1
20313585,sint-gillis-waas,apartment,apartment,519000,6,273,0,0,0,0,,0,,273,0,Good,0,0
20313584,antwerpen,apartment,apartment,225000,2,93,1,0,0,1,12,0,,105,0,,2,0
20304695,brasschaat,house,house,339000,2,125,0,0,0,1,,1,58,183,173,To renovate,2,1
20306875,rotselaar,house,house,405000,4,200,1,0,0,0,,0,,200,0,Good,3,0
20269647,anderlecht,house,house,475000,4,195,1,0,0,1,5,1,350,550,495,Good,2,1
20308716,ukkel,house,house,560000,4,212,0,0,0,0,,1,90,302,208,Good,2,0
20308715,linkebeek,house,house,560000,4,212,0,0,0,0,,1,90,302,208,Good,2,0
20261315,laeken,house,villa,599000,4,200,1,0,0,1,120,1,1000,1320,1200,To renovate,4,1
20287603,aarsele,house,house,198000,3,179,1,0,0,1,,0,,179,395,To renovate,0,0
20286868,oudenaarde,house,mixed-use-building,275000,4,350,0,0,0,0,,1,550,900,833,To renovate,3,1
20288135,paliseul,house,house,299000,4,203,0,0,0,0,,0,,203,1045,To be done up,4,0
20288710,lillois-witterzee,other,country-cottage,309000,3,136,1,0,1,1,16,1,150,302,279,To be done up,3,0
20288848,beauvechain,house,house,395000,2,119,1,0,0,0,,1,2100,2219,3010,To renovate,3,0
20288638,wortegem-petegem,house,house,480000,4,400,1,0,1,1,,0,,400,1592,To be done up,4,0
20290108,etalle,house,exceptional-property,495000,6,275,1,0,0,1,,0,,275,297,Good,2,0
