id,locality,p_type,sub_type,price,bedrooms,living_area,equip_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,surface of the plot,state,facades,swim_pool
20301510,uccle,apartment,apartment,385000,1,68,1,0,0,0,,0,,68,0,As new,0,1
20301502,uccle,apartment,apartment,595000,2,97,1,0,0,1,8,0,,105,0,As new,0,1
20301508,uccle,apartment,ground-floor,635000,2,108,1,0,0,1,18,1,73,199,0,As new,0,1
20301506,uccle,apartment,apartment,635000,2,113,1,0,0,1,8,0,,121,0,As new,0,1
20301517,uccle,apartment,apartment,645000,2,113,1,0,0,1,8,0,,121,0,As new,0,1
20301524,uccle,apartment,duplex,650000,2,107,1,0,0,1,16,1,52,175,0,As new,0,1
20301509,uccle,apartment,ground-floor,735000,2,138,1,0,0,1,11,1,9,158,0,As new,0,1
20301525,uccle,apartment,penthouse,980000,2,140,1,0,0,1,30,0,,170,0,As new,0,1
20301951,oostende,house,house,459500,4,195,0,0,0,0,,0,,195,243,Good,2,0
20301952,oostende,house,house,459500,4,195,0,0,0,0,,0,,195,243,Good,2,0
20300626,lier,apartment,apartment,218569,1,77,0,0,0,1,8,0,,85,0,As new,0,0
20300623,lier,apartment,apartment,234932,1,71,0,0,0,1,17,0,,88,0,As new,0,0
20300624,lier,apartment,apartment,251823,2,87,0,0,0,1,9,0,,96,0,As new,0,0
20300621,lier,apartment,apartment,260165,2,89,0,0,0,1,9,0,,98,0,As new,0,0
20300625,lier,apartment,apartment,260346,2,89,0,0,0,1,7,0,,96,0,As new,0,0
20302732,blankenberge,apartment,apartment,436000,2,116,0,0,0,1,7,1,10,133,0,Good,0,0
20302731,blankenberge,apartment,apartment,448000,3,120,0,0,0,1,7,1,22,149,0,Good,0,0
20302728,blankenberge,apartment,apartment,480000,3,103,0,0,0,1,12,0,,115,0,Good,0,0
20302726,blankenberge,apartment,apartment,496000,3,103,0,0,0,1,13,0,,116,0,Good,0,0
20302729,blankenberge,apartment,apartment,498000,2,114,0,0,0,1,25,0,,139,0,Good,0,0
20302730,blankenberge,apartment,apartment,509000,2,114,0,0,0,1,25,0,,139,0,Good,0,0
20302727,blankenberge,apartment,apartment,692000,4,153,0,0,0,1,50,0,,203,0,Good,0,0
20232164,torhout,house,house,348000,3,120,1,0,0,1,24,1,123,267,231,,3,0
20232159,torhout,house,house,351000,3,132,1,0,0,1,32,1,92,256,214,,3,0
20232160,torhout,house,house,355000,3,120,1,0,0,1,21,1,134,275,241,,3,0
20232162,torhout,house,house,360000,3,140,1,0,0,1,24,1,117,281,235,,3,0
20232161,torhout,house,house,365000,3,140,1,0,0,1,24,1,147,311,265,,3,0
20232157,torhout,house,house,370000,4,140,1,0,0,1,25,1,178,343,298,,3,0
20232154,torhout,house,house,372000,3,144,1,0,0,1,27,1,154,325,278,,3,0
20232163,torhout,house,house,375000,3,140,1,0,0,1,25,1,280,445,399,,3,0
20232158,torhout,house,house,479000,3,160,1,0,0,1,50,1,1055,1265,1209,,4,0
10998065,ham,apartment,apartment,239500,1,83,1,0,0,1,20,1,20,123,0,,0,0
10998122,ham,apartment,apartment,294500,2,105,1,0,0,1,20,1,44,169,0,As new,4,0
10998175,ham,apartment,apartment,299500,3,105,1,0,0,1,20,0,,125,0,As new,0,0
10998174,ham,apartment,apartment,329500,3,115,1,0,0,1,20,0,,135,0,,0,0
10998172,ham,apartment,apartment,329500,3,115,1,0,0,1,18,1,86,219,0,,0,0
10998176,ham,apartment,apartment,349500,3,118,1,0,0,1,46,0,,164,0,,0,0
10998177,ham,apartment,apartment,449500,3,157,1,0,0,1,78,0,,235,0,As new,0,0
20299666,beernem,apartment,apartment,275000,2,93,0,0,0,0,,0,,93,0,Good,0,0
20299656,beernem,apartment,apartment,275000,2,145,0,0,0,0,,0,,145,0,Good,0,0
20299662,beernem,apartment,apartment,285000,2,100,0,0,0,0,,0,,100,0,Good,0,0
20299655,beernem,apartment,apartment,295000,2,141,0,0,0,0,,0,,141,0,Good,0,0
20299659,beernem,apartment,apartment,295000,2,101,0,0,0,0,,0,,101,0,Good,0,0
20299657,beernem,apartment,apartment,295000,2,132,0,0,0,0,,0,,132,0,Good,0,0
20299664,beernem,apartment,apartment,305000,2,112,0,0,0,0,,0,,112,0,Good,0,0
20299667,beernem,apartment,apartment,305000,2,113,0,0,0,0,,0,,113,0,Good,0,0
20299663,beernem,apartment,apartment,315000,2,116,0,0,0,0,,0,,116,0,Good,0,0
20299661,beernem,apartment,apartment,315000,2,115,0,0,0,0,,0,,115,0,Good,0,0
20299668,beernem,apartment,apartment,315000,2,111,0,0,0,0,,0,,111,0,Good,0,0
20299669,beernem,apartment,apartment,315000,2,106,0,0,0,0,,0,,106,0,Good,0,0
20299660,beernem,apartment,apartment,325000,2,139,0,0,0,0,,0,,139,0,Good,0,0
20298688,perwez,house,house,385000,3,128,0,0,0,0,,0,,128,185,,0,0
20298692,perwez,house,house,389000,3,128,0,0,0,0,,0,,128,0,,0,0
20298671,perwez,house,house,390000,3,175,0,0,0,0,,0,,175,244,,0,0
20298684,perwez,house,house,390000,3,168,0,0,0,0,,0,,168,268,,3,0
20298700,perwez,house,house,399000,3,175,0,0,0,0,,0,,175,265,,0,0
20298697,perwez,house,house,400000,3,168,0,0,0,0,,0,,168,279,,3,0
20298670,perwez,house,house,416000,3,168,0,0,0,0,,0,,168,266,,3,0
20298690,perwez,house,house,420000,3,180,0,0,0,0,,0,,180,300,,0,0
20298672,perwez,house,house,421000,3,168,0,0,0,0,,0,,168,280,,3,0
20298663,perwez,house,house,425000,3,180,0,0,0,0,,0,,180,300,,0,0
20298681,perwez,house,house,436000,3,175,0,0,0,0,,0,,175,329,,3,0
20311262,gent,apartment,duplex,549150,3,133,1,0,0,1,23,0,,156,0,As new,0,1
20311260,gent,apartment,duplex,601900,3,147,1,0,0,1,28,0,,175,0,As new,0,1
20311259,gent,other,offices,335500,,61,0,0,0,0,,0,,61,0,As new,0,0
20311194,gent,apartment,ground-floor,461300,2,114,1,0,0,1,11,0,,125,0,As new,0,1
20311215,gent,apartment,duplex,549150,3,133,1,0,0,1,23,0,,156,0,As new,0,1
20311217,gent,apartment,duplex,601900,3,147,1,0,0,1,28,0,,175,0,As new,0,1
20311176,gent,apartment,apartment,989000,4,247,1,0,0,1,15,0,,262,0,As new,0,1
20311236,gent,other,offices,335500,,61,0,0,0,0,,0,,61,0,As new,0,0
20310833,zingem,apartment,apartment,362000,2,100,0,0,0,1,18,0,,118,0,Good,0,0
20310845,zingem,apartment,apartment,598500,3,147,0,0,0,1,46,0,,193,0,Good,0,0
20297281,meulebeke,house,house,388300,4,188,0,0,0,1,,0,,188,392,Good,0,0
20297222,meulebeke,house,house,397000,3,185,0,0,0,1,,0,,185,333,Good,0,0
20302636,meulebeke,house,house,397600,4,189,0,0,0,1,,0,,189,388,Good,0,0
