Id,Locality,Type,SubType,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool,Sale_Type
20297020,Westende,House,house,149500,2,42.0,False,True,False,True,0.0,False,0.0,42,42,To be done up,0,False,Private
20297029,Sintkruis,House,house,239500,1,60.0,True,False,False,True,0.0,False,0.0,60,80,Good,0,False,Private
20297185,Gentbrugge,House,house,319000,2,52.0,False,False,False,True,0.0,False,0.0,52,88,Good,0,False,Private
20298284,Keerbergen,House,house,549000,3,202.0,True,False,False,True,0.0,False,0.0,202,579,Not Known,4,False,Private
20295206,Woluwesaintlambert,House,house,625000,5,216.0,True,False,False,True,25.0,True,60.0,301,135,Good,2,False,Private
20298863,Roeselare,House,house,875000,4,424.0,False,False,False,False,0.0,False,0.0,424,816,Good,4,True,Private
20294410,Gentafsnee,House,house,1350000,4,283.0,True,False,False,True,0.0,False,0.0,283,480,Good,4,True,Private
20310199,Auvelais,House,house,194000,3,161.0,True,False,False,True,56.0,True,264.0,481,400,To be done up,3,True,Private
20309626,Gent,House,house,249000,3,121.0,False,False,False,False,0.0,False,0.0,121,91,To renovate,2,False,Private
20309982,Vorst,Apartment,apartment-block,695000,5,280.0,True,False,False,False,0.0,False,0.0,280,110,Good,2,False,Private
20303291,Huy,House,house,129000,3,136.0,True,False,False,True,30.0,False,0.0,166,126,Good,2,False,Private
20302678,Landegem,House,house,219000,2,95.0,True,False,False,False,0.0,False,0.0,95,200,To renovate,0,False,Private
20302777,Schriek,House,house,299000,2,134.0,False,False,False,False,0.0,False,0.0,134,3000,To renovate,0,False,Private
20314387,Saintghislain,House,town-house,250000,3,170.0,False,False,False,True,18.0,False,0.0,188,70,As new,3,True,Private
20314384,Willebroek,House,house,249000,3,161.0,False,False,False,True,0.0,False,0.0,161,459,Good,0,False,Private
20314380,Willebroek,House,house,249000,5,162.0,False,False,False,True,0.0,False,0.0,162,205,Good,0,False,Private
20314375,Gent,Apartment,apartment,235000,1,57.0,True,False,False,True,10.0,False,0.0,67,0,Good,0,False,Private
20314374,Turnhout,House,house,379000,3,150.0,False,False,False,True,0.0,False,0.0,150,297,Good,3,False,Private
20314373,Nieuwpoort,House,house,439000,4,239.0,True,False,False,True,0.0,False,0.0,239,210,Just renovated,0,False,Private
20314379,Antwerpen,Apartment,apartment,219000,2,85.0,True,False,False,True,7.0,False,0.0,92,0,Just renovated,0,False,Private
20314371,Holsbeeknieuwrode,House,house,879500,4,407.0,True,False,False,True,0.0,False,0.0,407,4200,Not Known,4,False,Private
20314369,Sinttruiden,Apartment,apartment,274900,2,87.0,True,False,False,True,8.0,False,0.0,95,0,Not Known,0,False,Private
20314366,Courcellesgouylezpicaton,House,house,80000,2,90.0,True,False,False,False,0.0,False,0.0,90,0,To be done up,2,True,Private
20285982,Saintnicolas,House,house,199000,2,106.0,True,False,False,True,15.0,True,40.0,161,120,Just renovated,2,False,Private
20283827,Seraing,House,house,360000,5,217.0,True,False,False,True,80.0,True,134.0,431,334,Good,2,True,Private
20214186,Rhodesaintgenese,House,house,379000,3,150.0,True,False,False,True,10.0,True,271.0,431,372,Good,3,True,Private
20311089,Sintkatelijnewaver,House,house,315000,3,145.0,False,False,False,False,0.0,False,0.0,145,585,Not Known,0,False,Private
20312573,Kapelleopdenbos,House,house,365000,3,186.0,True,False,False,False,0.0,False,0.0,186,0,To renovate,3,False,Private
20311412,Mortsel,House,house,448000,3,162.0,True,False,False,False,0.0,False,0.0,162,186,Good,0,False,Private
20311370,Hulste,Other,country-cottage,595000,3,1250.0,True,False,False,False,0.0,False,0.0,1250,22500,To renovate,4,False,Private
20310723,Brasschaat,House,villa,690000,3,190.0,True,False,True,True,0.0,False,0.0,190,947,Good,4,True,Private
20312560,Vilvoorde,House,villa,699000,4,175.0,True,False,True,True,100.0,True,400.0,675,975,Good,4,True,Private
20310855,Brainelalleud,House,villa,799000,4,397.0,True,False,False,True,143.0,True,550.0,1090,1871,As new,4,True,Private
20310849,Brainelalleud,House,villa,799000,4,397.0,True,False,False,True,143.0,True,550.0,1090,1871,As new,4,True,Private
20296623,Wanferceebaulet,House,house,165000,2,100.0,True,False,False,False,0.0,False,0.0,100,335,To be done up,2,False,Private
20294525,Paliseul,House,house,165000,3,150.0,True,False,False,False,0.0,False,0.0,150,335,Good,3,False,Private
20295973,Gilly,House,house,195000,3,150.0,True,False,False,False,0.0,True,326.0,476,510,Good,3,False,Private
20295499,Willebroek,House,house,205000,2,118.0,True,False,False,False,0.0,True,63.0,181,130,To renovate,2,False,Private
20294255,Gistel,House,house,259000,5,168.0,False,False,False,False,0.0,True,260.0,428,573,Good,0,False,Private
