Id,Locality,Type,SubType,Price,Sale_Type,Bedrooms,Living_Area,Is_Equiped_Kitchen,Is_Furnished,Is_Open_Fire,Terrace,Terrace_Area,Garden,Garden_Area,Land_Surface,Surface of the plot,State,Facades,Swim_pool
20293259,Aalter,Apartment,apartment,369000,Private,3,95,FALSE,FALSE,FALSE,FALSE,0,TRUE,40,135,0,Not Known,3,FALSE
20293258,Waterloo,House,house,485000,Private,4,190,TRUE,FALSE,FALSE,TRUE,5,TRUE,28,223,95,Good,2,FALSE
20293256,Braine-l'alleud,Apartment,duplex,580000,Private,3,160,FALSE,FALSE,FALSE,TRUE,3,FALSE,0,163,0,Not Known,0,FALSE
20293249,Maaseik,Apartment,apartment,495000,Private,3,140,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,140,0,Just renovated,2,FALSE
20293246,Angleur,House,villa,500000,Private,4,250,TRUE,FALSE,TRUE,TRUE,0,TRUE,2595,2845,2595,Not Known,4,FALSE
20293244,Nieuwkerken-Waas,House,mixed-use-building,795000,Private,1,150,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,150,0,Not Known,2,FALSE
20293239,Laken,Apartment,apartment,279000,Private,2,95,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,96,0,Good,3,TRUE
20293238,Ukkel,Apartment,apartment-block,1250000,Private,7,490,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,490,136,To be done up,2,FALSE
20293237,Koksijde,House,house,220000,Private,3,225,TRUE,FALSE,TRUE,TRUE,20,TRUE,521,766,521,Not Known,3,FALSE
20293236,Koksijde,House,house,530000,Private,6,311,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,311,0,Not Known,2,FALSE
20293235,Koksijde,Apartment,apartment-block,1455000,Private,10,320,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,320,0,Not Known,2,FALSE
20293234,Hallaar,Apartment,apartment-block,830000,Private,4,300,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,300,0,Not Known,2,FALSE
11478382,Koksijde,House,villa,1450000,Private,4,325,TRUE,FALSE,FALSE,TRUE,75,TRUE,700,1100,980,Good,3,TRUE
20151455,Koksijde,House,exceptional-property,1450000,Private,4,540,TRUE,FALSE,FALSE,TRUE,200,TRUE,1200,1940,1596,Good,4,TRUE
20197745,Borchtlombeek,House,house,1490000,Private,4,274,TRUE,FALSE,FALSE,TRUE,130,TRUE,8975,9379,10638,Good,4,TRUE
11464655,Marbais,House,house,1495000,Private,5,300,TRUE,FALSE,FALSE,TRUE,30,TRUE,200,530,315,Good,2,TRUE
11462827,Brasschaat,House,house,1495000,Private,5,300,TRUE,FALSE,FALSE,TRUE,30,TRUE,200,530,315,Good,2,TRUE
11291874,Elene,House,villa,1495000,Private,4,500,TRUE,FALSE,TRUE,TRUE,40,TRUE,1000,1540,1000,As new,4,TRUE
20184446,Bouffioulx,House,house,1495000,Private,4,214,TRUE,TRUE,FALSE,TRUE,0,TRUE,756,970,756,Good,3,FALSE
20245800,Bevere,House,villa,1550000,Private,4,460,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,460,609,Not Known,0,FALSE
20225263,Keerbergen,House,villa,1595000,Private,2,232,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,232,1457,Not Known,0,FALSE
11442229,Heusy,House,house,1600000,Private,4,713,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,713,1784,Not Known,2,FALSE
11442099,Lichtervelde,House,house,1600000,Private,4,713,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,713,1784,Not Known,2,FALSE
11414737,Oostende,House,house,1600000,Private,4,713,FALSE,FALSE,FALSE,TRUE,0,FALSE,0,713,1784,Not Known,2,FALSE
11470899,Aalter,House,exceptional-property,1825000,Private,8,295,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,295,224,Just renovated,0,FALSE
11295794,Helkijn,House,house,1950000,Private,4,300,TRUE,FALSE,FALSE,TRUE,60,TRUE,250,610,426,As new,2,TRUE
20037515,Broechem,House,house,1995000,Private,4,623,FALSE,FALSE,TRUE,TRUE,0,FALSE,0,623,17318,Not Known,4,FALSE
10831590,Boekhout,House,house,2150000,Private,4,256,TRUE,FALSE,FALSE,TRUE,0,FALSE,0,256,883,As new,4,TRUE
20215927,Aalst,House,villa,2250000,Private,4,450,TRUE,FALSE,TRUE,TRUE,1,TRUE,1,452,2700,To renovate,4,TRUE
11266133,Aalst,House,villa,2250000,Private,5,632,FALSE,FALSE,TRUE,FALSE,0,FALSE,0,632,7014,As new,4,TRUE
11438250,Drieslinter,House,exceptional-property,2340000,Private,4,480,FALSE,FALSE,TRUE,FALSE,0,TRUE,44,524,159,As new,2,TRUE
20100455,Boekhout,House,house,2350000,Private,0,1225,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1225,2275,Just renovated,0,FALSE
20220927,Aarsele,House,house,2400000,Private,4,401,FALSE,FALSE,FALSE,TRUE,95,FALSE,0,496,7193,Good,4,FALSE
11424473,Aarsele,House,exceptional-property,2800000,Private,7,1157,TRUE,FALSE,FALSE,TRUE,30,TRUE,120,1307,610,Good,2,FALSE
11464603,Oostrozebeke,House,villa,2950000,Private,5,450,TRUE,FALSE,FALSE,TRUE,120,TRUE,1600,2170,2096,As new,4,TRUE
11467682,Chapelle-lez-herlaimont,House,house,3000000,Private,5,400,FALSE,FALSE,TRUE,TRUE,200,TRUE,6000,6600,8000,As new,4,TRUE
20086446,Heist-Aan-Zee,House,mansion,3750000,Private,5,530,TRUE,FALSE,FALSE,TRUE,120,TRUE,53,703,213,As new,2,TRUE
20085219,Knokke,House,house,3750000,Private,5,630,TRUE,FALSE,TRUE,TRUE,150,TRUE,30,810,213,As new,3,TRUE
20059212,Aiseau,House,villa,4385000,Private,6,657,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,657,11405,Good,0,TRUE
